Level,Term,Course Code,Course Name,Credits(Theory),Credits(Practical)
Level II,Autumn,AQC 238,Ornamental Fish Culture,2,1
Level II,Autumn,FBE 235,Fundamentals of Fish Physiology,3,1
Level II,Autumn,FIT 235,Fish Handling and Preservation,3,1
Level II,Autumn,AEC 231 (Autumn 21),Fisheries Economics,3,0
Level II,Autumn,FMG 240,Fish Parasitology,3,1
Level II,Summer,FMG 215,Planktology,2,1
Level II,Summer,FBE 211,Fisheries Systematics,2,1
Level II,Summer,FIT 204,Fundamentals of Fish Microbiology,2,1
Level II,Summer,STT 201 (Sum 21),Basic Statistics,3,1
Level II,Summer,BMB 201,Chemistry of Biomolecules,2,1
Level I,Winter,FMG 161 (Winter 20),Limnology,3,1
Level I,Winter,FBE 161 (Winter 20),Ichthyology,3,1
Level I,Winter,GFB 161,Fundamentals of Cell Biology,2,1
Level I,Winter,FIT 161,Fishing Technology,3,1
Level I,Winter,GEU 161,History of the Rise of Bangladesh,2,0
Level I,Autumn,AQC 131,Freshwater Aquaculture,3,1
Level I,Autumn,FMG 131 (Autumn 20),Estuarine and Marine Ecology,2,1
Level I,Autumn,FBE 131 (Autumn 20),Fisheries Biodiversity,2,1
Level I,Autumn,CST 131 (Autumn 20),ICT in Fisheries,2,1
Level I,Summer,AQC 101 (New),Principles of Aquaculture,2,1
Level I,Summer,FBE 101 (New),Fisheries Zoology,3,1
Level I,Summer,FMG 101 (Syl 20),Freshwater Ecology,2,1
Level I,Summer,GEU 101 (New),Communicative English,2,0
